day	hour	value
1	1	0.175507020281
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.85640925637
1	6	1.90295111804
1	7	2.41159646386
1	8	5.43421736869
1	9	10.4199167967
1	10	7.28029121165
1	11	7.53380135205
1	12	8.49583983359
1	13	9.38312532501
1	14	10.7351794072
1	15	8.8744799792
1	16	9.15886635465
1	17	7.61830473219
1	18	9.42050182007
1	19	6.60588923557
1	20	3.27775611024
1	21	2.1873374935
1	22	1.99070462819
1	23	1.54868694748
1	24	0.745904836193
2	1	0.0
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.157631305252
2	7	1.92082683307
2	8	4.91419656786
2	9	9.44325273011
2	10	5.11732969319
2	11	4.15691627665
2	12	4.10653926157
2	13	5.62109984399
2	14	6.11674466979
2	15	5.59997399896
2	16	6.66276651066
2	17	6.11186947478
2	18	9.08573842954
2	19	6.61238949558
2	20	3.71002340094
2	21	2.0654576183
2	22	2.18246229849
2	23	1.53243629745
2	24	0.627275091004
3	1	0.0
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.165756630265
3	7	1.77457098284
3	8	4.95807332293
3	9	9.07761310452
3	10	5.01007540302
3	11	3.85140405616
3	12	4.79394175767
3	13	4.42180187207
3	14	4.73218928757
3	15	4.66231149246
3	16	6.54413676547
3	17	7.05115704628
3	18	8.30083203328
3	19	6.39950598024
3	20	3.55726729069
3	21	2.15646125845
3	22	1.92570202808
3	23	1.4999349974
3	24	0.750780031201
4	1	0.0
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.121879875195
4	7	1.84444877795
4	8	4.77769110764
4	9	9.4985049402
4	10	5.25871034841
4	11	3.67752210088
4	12	3.81727769111
4	13	3.75715028601
4	14	4.94507280291
4	15	4.88494539782
4	16	5.89736089444
4	17	6.07936817473
4	18	8.23907956318
4	19	6.80089703588
4	20	3.51826573063
4	21	2.54160166407
4	22	2.24583983359
4	23	2.17596203848
4	24	0.879160166407
5	1	0.523270930837
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.126755070203
5	6	0.164131565263
5	7	1.74206968279
5	8	4.55668226729
5	9	8.92323192928
5	10	5.66822672907
5	11	3.84327873115
5	12	3.82865314613
5	13	4.24141965679
5	14	4.64931097244
5	15	5.76248049922
5	16	6.29712688508
5	17	6.53601144046
5	18	8.57709308372
5	19	6.67251690068
5	20	3.89365574623
5	21	2.75448517941
5	22	2.63910556422
5	23	2.6878575143
5	24	2.04758190328
6	1	0.671151846074
6	2	0.123504940198
6	3	0.0
6	4	0.0
6	5	0.0
6	6	0.0926287051482
6	7	0.879160166407
6	8	1.30005200208
6	9	2.08820852834
6	10	2.92349193968
6	11	3.85627925117
6	12	5.03932657306
6	13	6.32962818513
6	14	5.77873114925
6	15	5.78523140926
6	16	6.19637285491
6	17	5.91523660946
6	18	5.97698907956
6	19	4.92069682787
6	20	3.33138325533
6	21	3.04537181487
6	22	2.73173426937
6	23	2.85523920957
6	24	1.92407696308
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.45014300572
7	6	0.056877275091
7	7	0.630525221009
7	8	0.892160686427
7	9	1.44468278731
7	10	2.96574362975
7	11	4.96619864795
7	12	6.70501820073
7	13	7.1226599064
7	14	7.7515600624
7	15	8.01319552782
7	16	7.94494279771
7	17	6.52951118045
7	18	6.63351534061
7	19	4.73868954758
7	20	3.22250390016
7	21	2.6244799792
7	22	2.22146385855
7	23	1.66406656266
7	24	0.783281331253
