day	hour	value
1	1	0.0666276651066
1	2	0.0
1	3	0.0
1	4	0.0
1	5	0.0
1	6	0.0
1	7	1.44305772231
1	8	7.25754030161
1	9	11.0195657826
1	10	3.80752730109
1	11	4.04641185647
1	12	4.61030941238
1	13	4.53718148726
1	14	4.6850624025
1	15	5.57559802392
1	16	6.05824232969
1	17	7.32091783671
1	18	10.5239209568
1	19	7.71093343734
1	20	2.35959438378
1	21	0.619149765991
1	22	0.594773790952
1	23	0.437142485699
1	24	0.224258970359
2	1	0.0877535101404
2	2	0.0
2	3	0.0
2	4	0.0
2	5	0.0
2	6	0.0
2	7	1.55193707748
2	8	8.25533021321
2	9	11.4567082683
2	10	4.19591783671
2	11	4.373049922
2	12	5.16445657826
2	13	4.74356474259
2	14	5.44396775871
2	15	6.19312272491
2	16	6.65626625065
2	17	7.33716848674
2	18	10.3191627665
2	19	7.87018980759
2	20	2.55622724909
2	21	0.890535621425
2	22	0.85640925637
2	23	0.567147685907
2	24	0.212883515341
3	1	0.0617524700988
3	2	0.0
3	3	0.0
3	4	0.0
3	5	0.0
3	6	0.0
3	7	1.60556422257
3	8	8.35120904836
3	9	11.0179407176
3	10	4.42342693708
3	11	4.86056942278
3	12	5.40659126365
3	13	4.73381435257
3	14	5.02307592304
3	15	6.04361674467
3	16	6.40275611024
3	17	7.44279771191
3	18	10.3419136765
3	19	7.13566042642
3	20	2.51885075403
3	21	1.14404576183
3	22	1.00429017161
3	23	0.73777951118
3	24	0.235634425377
4	1	0.0666276651066
4	2	0.0
4	3	0.0
4	4	0.0
4	5	0.0
4	6	0.0
4	7	1.58443837754
4	8	8.28458138326
4	9	11.0455668227
4	10	4.41042641706
4	11	5.55447217889
4	12	6.58963858554
4	13	5.71697867915
4	14	5.9997399896
4	15	6.65139105564
4	16	7.49317472699
4	17	8.45683827353
4	18	10.9545631825
4	19	7.68330733229
4	20	2.69110764431
4	21	1.29192667707
4	22	1.25942537702
4	23	1.26592563703
4	24	0.336388455538
5	1	0.36238949558
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	1.56981279251
5	8	7.4395475819
5	9	10.9561882475
5	10	4.96294851794
5	11	5.91686167447
5	12	6.51163546542
5	13	6.5018850754
5	14	7.23478939158
5	15	7.94331773271
5	16	8.60471918877
5	17	9.70976339054
5	18	12.3049921997
5	19	7.72393395736
5	20	3.72139885595
5	21	1.8103224129
5	22	1.76319552782
5	23	1.92245189808
5	24	0.862909516381
6	1	0.554147165887
6	2	0.0
6	3	0.0
6	4	0.0
6	5	0.0
6	6	0.0
6	7	0.089378575143
6	8	0.81903276131
6	9	1.70631825273
6	10	4.10491419657
6	11	7.65080603224
6	12	10.2622854914
6	13	10.9740639626
6	14	11.1820722829
6	15	11.6500910036
6	16	11.9426027041
6	17	12.5650026001
6	18	10.1989079563
6	19	5.3155876235
6	20	3.23225429017
6	21	1.90782631305
6	22	1.51456058242
6	23	1.52268590744
6	24	0.885660426417
7	1	0.0
7	2	0.0
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	0.0
7	8	0.32501300052
7	9	1.78757150286
7	10	5.75435517421
7	11	11.7557202288
7	12	16.6747919917
7	13	16.7544201768
7	14	17.8692147686
7	15	19.6502860114
7	16	21.270475819
7	17	21.4687337493
7	18	16.868174727
7	19	8.99148465939
7	20	4.20079303172
7	21	1.61043941758
7	22	0.947412896516
7	23	0.48751950078
7	24	0.107254290172
